 , ,QR LinkInstance data csv
Course:, ,ECE3246 - SECURITY AND CRYPTOGRAPHY (FOE_CYB, TRIM : 1820)
CourseID:, ,368
CoordID:, ,1542024588

TTID,Validity,Result status
696,False,You are not register to this class.
697,False,You are not register to this class.
698,False,You are not register to this class.
699,False,You are not register to this class.
700,False,You are not register to this class.
701,False,You are not register to this class.
702,False,You are not register to this class.
703,False,You are not register to this class.
704,False,You are not register to this class.
705,False,You are not register to this class.
706,False,You are not register to this class.
707,False,You are not register to this class.
708,False,You are not register to this class.
709,False,You are not register to this class.
710,False,You are not register to this class.
711,False,You are not register to this class.
712,False,You are not register to this class.
713,False,You are not register to this class.
714,False,You are not register to this class.
715,False,You are not register to this class.
716,False,You are not register to this class.
717,False,You are not register to this class.
718,False,You are not register to this class.
719,False,You are not register to this class.
720,False,You are not register to this class.
721,False,You are not register to this class.
722,False,You are not register to this class.
723,False,You are not register to this class.
724,False,You are not register to this class.
725,False,You are not register to this class.
726,False,You are not register to this class.
727,False,You are not register to this class.
728,False,You are not register to this class.
729,False,You are not register to this class.
730,False,You are not register to this class.
731,False,You are not register to this class.
732,False,You are not register to this class.
733,False,You are not register to this class.
734,False,You are not register to this class.
735,False,You are not register to this class.
736,False,You are not register to this class.
737,False,You are not register to this class.
738,False,You are not register to this class.
739,False,You are not register to this class.
740,False,You are not register to this class.
741,False,You are not register to this class.
742,False,You are not register to this class.
743,False,You are not register to this class.
744,False,You are not register to this class.
745,True,Attendance already recorded for this student ID.
746,False,You are not register to this class.
747,False,You are not register to this class.
748,False,You are not register to this class.
749,False,You are not register to this class.
750,False,You are not register to this class.
751,False,You are not register to this class.
752,False,You are not register to this class.
753,False,You are not register to this class.
754,False,You are not register to this class.
755,False,You are not register to this class.
756,False,You are not register to this class.
757,False,You are not register to this class.
758,False,You are not register to this class.
759,False,You are not register to this class.
760,False,You are not register to this class.
761,False,You are not register to this class.
762,False,You are not register to this class.
763,False,You are not register to this class.
764,False,You are not register to this class.
765,False,You are not register to this class.
766,False,You are not register to this class.
767,False,You are not register to this class.
768,False,You are not register to this class.
769,False,You are not register to this class.
770,False,You are not register to this class.
771,False,You are not register to this class.
772,False,You are not register to this class.
773,False,You are not register to this class.
774,False,You are not register to this class.
775,False,You are not register to this class.
776,False,You are not register to this class.
777,False,You are not register to this class.
778,False,You are not register to this class.
779,False,You are not register to this class.
780,False,You are not register to this class.
781,False,You are not register to this class.
782,False,You are not register to this class.
783,False,You are not register to this class.
784,False,You are not register to this class.
785,False,You are not register to this class.
786,False,You are not register to this class.
787,False,You are not register to this class.
788,False,You are not register to this class.
789,False,You are not register to this class.
790,False,You are not register to this class.
791,False,You are not register to this class.
792,False,You are not register to this class.
793,False,You are not register to this class.
794,False,You are not register to this class.
795,False,You are not register to this class.
796,False,You are not register to this class.
797,False,You are not register to this class.
798,False,You are not register to this class.
799,False,You are not register to this class.
800,False,You are not register to this class.
801,False,You are not register to this class.
802,False,You are not register to this class.
803,False,You are not register to this class.
804,False,You are not register to this class.
805,False,You are not register to this class.
806,False,You are not register to this class.
807,False,You are not register to this class.
808,False,You are not register to this class.
809,False,You are not register to this class.
810,False,You are not register to this class.
811,False,You are not register to this class.
812,False,You are not register to this class.
813,False,You are not register to this class.
814,False,You are not register to this class.
815,False,You are not register to this class.
816,False,You are not register to this class.
817,False,You are not register to this class.
818,False,You are not register to this class.
819,False,You are not register to this class.
820,False,You are not register to this class.
821,False,You are not register to this class.
822,False,You are not register to this class.
823,False,You are not register to this class.
824,False,You are not register to this class.
825,False,You are not register to this class.
826,False,You are not register to this class.
827,False,You are not register to this class.
828,False,You are not register to this class.
829,False,You are not register to this class.
830,False,You are not register to this class.
831,False,You are not register to this class.
832,False,You are not register to this class.
833,False,You are not register to this class.
834,False,You are not register to this class.
835,False,You are not register to this class.
836,False,You are not register to this class.
837,False,You are not register to this class.
838,False,You are not register to this class.
839,False,You are not register to this class.
840,False,You are not register to this class.
841,False,You are not register to this class.
842,False,You are not register to this class.
843,False,You are not register to this class.
844,False,You are not register to this class.
845,False,You are not register to this class.
846,False,You are not register to this class.
847,False,You are not register to this class.
848,False,You are not register to this class.
849,False,You are not register to this class.
850,False,You are not register to this class.
851,False,You are not register to this class.
852,False,You are not register to this class.
853,False,You are not register to this class.
854,False,You are not register to this class.
855,False,You are not register to this class.
856,False,You are not register to this class.
857,False,You are not register to this class.
858,False,You are not register to this class.
859,False,You are not register to this class.
860,False,You are not register to this class.
861,False,You are not register to this class.
862,False,You are not register to this class.
863,False,You are not register to this class.
864,False,You are not register to this class.
865,False,You are not register to this class.
866,False,You are not register to this class.
867,False,You are not register to this class.
868,False,You are not register to this class.
869,False,You are not register to this class.
870,False,You are not register to this class.
871,False,You are not register to this class.
872,False,You are not register to this class.
873,False,You are not register to this class.
874,False,You are not register to this class.
875,False,You are not register to this class.
876,False,You are not register to this class.
877,False,You are not register to this class.
878,False,You are not register to this class.
879,False,You are not register to this class.
880,False,You are not register to this class.
881,False,You are not register to this class.
882,False,You are not register to this class.
883,False,You are not register to this class.
884,False,You are not register to this class.
885,False,You are not register to this class.
886,False,You are not register to this class.
887,False,You are not register to this class.
888,False,You are not register to this class.
889,False,You are not register to this class.
890,False,You are not register to this class.
891,False,You are not register to this class.
892,False,You are not register to this class.
893,False,You are not register to this class.
894,False,You are not register to this class.
895,False,You are not register to this class.
896,False,You are not register to this class.
897,False,You are not register to this class.
898,False,You are not register to this class.
899,False,You are not register to this class.
900,False,You are not register to this class.
901,False,You are not register to this class.
902,False,You are not register to this class.
903,False,You are not register to this class.
904,False,You are not register to this class.
905,False,You are not register to this class.
906,False,You are not register to this class.
907,False,You are not register to this class.
908,False,You are not register to this class.
909,False,You are not register to this class.
910,False,You are not register to this class.
911,False,You are not register to this class.
912,False,You are not register to this class.
913,False,You are not register to this class.
914,False,You are not register to this class.
915,False,You are not register to this class.
916,False,You are not register to this class.
917,False,You are not register to this class.
918,False,You are not register to this class.
919,False,You are not register to this class.
920,False,You are not register to this class.
921,False,You are not register to this class.
922,False,You are not register to this class.
923,False,You are not register to this class.
924,False,You are not register to this class.
925,False,You are not register to this class.
926,False,You are not register to this class.
927,False,You are not register to this class.
928,False,You are not register to this class.
929,False,You are not register to this class.
930,False,You are not register to this class.
931,False,You are not register to this class.
932,False,You are not register to this class.
933,False,You are not register to this class.
934,False,You are not register to this class.
935,False,You are not register to this class.
936,False,You are not register to this class.
937,False,You are not register to this class.
938,False,You are not register to this class.
939,False,You are not register to this class.
940,False,You are not register to this class.
941,False,You are not register to this class.
942,False,You are not register to this class.
943,False,You are not register to this class.
944,False,You are not register to this class.
945,False,You are not register to this class.
946,False,You are not register to this class.
947,False,You are not register to this class.
948,False,You are not register to this class.
949,False,You are not register to this class.
950,False,You are not register to this class.
951,False,You are not register to this class.
952,False,You are not register to this class.
953,False,You are not register to this class.
954,False,You are not register to this class.
955,False,You are not register to this class.
956,False,You are not register to this class.
957,False,You are not register to this class.
958,False,You are not register to this class.
959,False,You are not register to this class.
960,False,You are not register to this class.
961,False,You are not register to this class.
962,False,You are not register to this class.
963,False,You are not register to this class.
964,False,You are not register to this class.
965,False,You are not register to this class.
966,False,You are not register to this class.
967,False,You are not register to this class.
968,False,You are not register to this class.
969,False,You are not register to this class.
970,False,You are not register to this class.
971,False,You are not register to this class.
972,False,You are not register to this class.
973,False,You are not register to this class.
974,False,You are not register to this class.
975,False,You are not register to this class.
976,False,You are not register to this class.
